Gene_ID	TCGA-09-1664	TCGA-13-1484	TCGA-13-1488	TCGA-13-1489	TCGA-13-1494	TCGA-13-1495	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1105	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2027	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-24-2290	TCGA-24-2295	TCGA-25-1316	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1623	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1697	TCGA-29-1762	TCGA-29-1763	TCGA-29-1768	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-1785	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1900	TCGA-61-1907	TCGA-61-1911	TCGA-61-1914	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2095	TCGA-61-2096	TCGA-61-2612
UFC1				-0.158	-0.649		0.097	-1.396				1.961	0.592	0.867	0.095	1.117	-0.308	1.051	-1.236	-1.683		-0.406		-0.364		-0.333	-0.388			2.307			-1.238	-0.372	-0.337			-0.991	-1.583	-0.18	-0.775	1.245	1.147		0.184		-0.291	1.347		-0.71	0.794	0.422	1.188	-0.214		0.777	0.072	-0.175	2.072	-0.543			1.534		-0.65	1.129	-0.945		2.268		-1.6	1.234	0.198	-0.747					-0.039			-0.282		
UFD1	1.083		-1.335	1.115		0.982							-0.783					0.175																-0.981	-0.624					-2.498	0.797				-0.137	0.337									0.025			0.241	1.115				-1.742		-0.193		0.164		0.21				-0.189		-1.736		0.526	0.036					0.127	
UFL1	-0.715		0.128	1.065		-1.996	-0.578	-1.492	-1.828	1.376	3.971		0.729	0.409		0.919					-0.948		2.113			0.829	1.766	-2.221	0.027	0.651	-0.646	0.322	-0.125	-0.03	0.446				0.45	0.227	-0.571		-0.499	-0.821		-0.533		-0.937		0.771		1.192	0.479		-1.376	-2.537	1.734	-0.391	-0.915	1.754	2.238	-0.261	-1.284			0.259	-0.429	-0.537	-1.117	0.502	0.549	0.258	-0.027	-1.03	-0.979	-3.545	1.868	0.929			1.497		0.046	-0.479
UFM1	1.292	-0.771	1.229	-0.085	-0.016	0.378	-0.655	0.222	-0.649	0.227	-0.471	-0.7	2.737	-0.885	-0.15	1.957	-0.571	0.151	-0.073	-0.865	0.226	1.975	0.512	-1.369	-1.325	1.415	-1.879	-0.758	1.748	-1.129	0.863	3.741	-0.421	-0.913	-0.31	-1.648	0.776	-1.697	0.71	0.913	-1.577	0.584	-0.929	0.943	-0.85	0.443	-1.742	0.569	0.031	0.517	0.864	-1.134	-1.001	0.885	0.117	-0.504	-0.954	1.086	-1.325	-1.414	-0.992	-0.408	-0.061	1.882	2.415	-0.394	0.651	-1.97	1.846	-0.942	0.567	-1.917	-0.244	-1.431	0.494	0.08	1.316	-0.6	-0.589	0.741	-0.382	-0.294	0.903	1.522
UFSP2	0.698	-1.017	-1.997	1.206	-0.63	-1.703	0.191	-0.668	-0.113	0.881	-1.265	0.479	1.427	1.915	0.08	-2.094	-0.202	-0.196	-0.277	-1.379	0.384	-1.132	0.466	-0.367	0.965	-0.459	1.083	1.13	0.355	-0.785	-0.737	-1.493	-0.084	-0.051	-1.236	0.868	-0.555	0.194	-0.406	-2.746	-0.508	-0.851	0.263	-0.801	2.105	0.257	2.34	-0.278	0.672	-1.356	1.177	-1.455	0.921	1.295	-2.167	0.72	0.378	-0.843	0.27	1.045	-1.068	-0.72	1.459	0.38	-1.249	-1.213	0.437	1.198	-0.398	0.618	-1.073	-1.236	-1.25	-0.971	-1.103	0.181	1.795	-0.855	2.699	0.231	-0.766	-1.152	-0.576	-0.319
UGDH													-1.528															1.471	-0.144		1.561	-0.794	-1.217	0.573	0.035					-1.327	0.543			1													-1.61	-0.856	-0.93				-0.123				-0.497							-1.38										0.964
UGGT1				-0.565			-0.698		0.382	-0.048	1.028		-0.178	-0.41	-1.09	-0.114	0.327	0.756	-0.639	-0.755	0.321	0.882	-2.963	2.066	0.638	-0.179	0.171	-0.489	2.517	1.316	-0.53	-0.311	0.65	-1.107	0.744	0.756	0.94	-0.478	-0.353	-0.307	-0.148	-1.471	-0.709	-0.364	-0.571			0.407	0.274	-0.431	-0.548	2.537	-1.337	-0.163			0.901	-1.418	0.321	0.942	1.048	0.107	-0.861		0.434	0.618	1.735	-0.412	1.061	0.02		-1.474	-0.165	-0.6		-0.837			0.779		1.453	-0.76		0.153
UGGT2								1.477					-0.441					-0.47											1.641		0.686								1.094	0.689			-1.07	-0.775	-0.254											0.452							-0.38		0.909						-0.726	0.429												
UGP2	1.976					1.683	0.909		0.439				-0.502	0.65	0.835		0.798	1.587				1.395	0.835				2.197	-1.579	-0.158	-1.338	0.764	1.425		1.495						-1.099	-1.286			1.072	0.648			-1.352										-1.444		0.759			0.062		-0.014			-0.441							0.66		0.432	1.434					-0.456	-1.599
UHRF1	-0.253	0.114	-0.172	0.785	2.173	-1.389	0.766	-1.617	0.628	2.166	-0.318	0.421	0.4	0.143	0.996	-1.778	1.151	-1.031	-0.313	0.563	-1.036	0.701	-0.097	2.466	-0.603	-1.327	1.448	-1.956	0.034	-1.667	-1.366	0.93	0.467	0.259	2.324	0.887	-0.687	0.546	0.073	-1.689	-0.11	0.881	0.817	1.275	1.257	0.573	0.257	-1.023	1.442	-0.444	0.012	-0.127	1.531	-1.03	-2.027	0.361	0.431	-1.195	-0.872	-0.245	-0.928	0.886	0.89	1.064	0.05	0.332	-0.599	0.377	0.828	0.262	1.258	0.963	-0.507	0.643	-0.773	-1.038	-1.581	1.856	-0.541	-1.01	-0.619	-0.485	0.982	0.256
UHRF1BP1	0.16	-0.286	-1.935	0.623	1.491			-1.015	-0.853	-0.297	-0.171	-0.302	-0.621		-1.038	0.696	-1.397	0.806	0.721	1.892	0.845	1.269	1.958	0.205		-1.42		-0.877	-0.821		1.881	0.271	1.363	-1.357	-2.665			1.427	1.864	-0.363	-0.41	-0.02	-0.527	-0.228	0.009	-2.436	0.686		-1.587	0.455	0.463	-0.121	0.856	-0.691	-1.083	0.122	-1.082	-1.572	-0.46		-0.809	-1.393	-0.555	0.066	-0.317	-1.372	-1.889	1.56	0.412	-0.186	-0.684	0.856	-0.085	0.462	-2.253	-0.502		-0.484	1.045	-1.618	0.117	0.858		-0.907
UHRF1BP1L	-0.972			-0.024		0.119	0.081	0.895	0.048	-1.661			2.779		-1.36		2.177			-0.4	0.958	-0.325	1.679	-0.94					-1.33		0.146		-0.15	-0.879	0.09				-1.083	0.523	-1.53	-1.361	-0.438	0.445				0.633	0.42	0.778		-0.584				0.02	1.2	1.02	-0.716	0.726		-1.587	1.766			1.214	-1.25	-0.356	0.445		0.281	-0.209	-0.005	-0.432	-0.197	1.437	1.359	-0.251			-0.162		0.452	
UHRF2	-1.305	-1.085	-0.321	-0.266	-0.673	0.836	-0.349	0.389	1.406	-2.129	0.428	0.505	-1.674	0.395	-1.138	-1.726	1.11	-0.387	0.933	0.574	-1.959	0.465	0.51	-0.326	-1.647	0.238	0.124	0.55	-0.481	-0.454	-2.157	-0.481	0.844	-0.245	-0.471	0.466	0.78	-1.29	1.593	-0.868	-0.422	-1.883	-0.296	-1.505	0.843	-1.957	0.101	0.31	1.03	-1.167		1.456	0.556	0.171	-0.76	2.394	1.962	0.714	-0.494	0.489	-0.301	0.946	-0.291	-1.847	-0.213	-0.407	-1.099	-1.368	1.41	-0.25	-3.129	-1.287	1.958	-0.171	0.417	0.529	-2.457	1.07		1.702	-0.514		0.865	-1.717
UIMC1	0.851	0.096	-0.798	-1.461	0.946	0.943		-0.99	-2.141	-0.383	0.815	-2.142	-1.017		0.055		-0.043	-1.639		-1.204	0.018	-0.754	0.186	-1.705	0.224			0.039	-0.75		0.736	-1.119	0.437	-0.553	-0.979	1.569	-0.376			1.257	-1.719	0.172		-1.036	0.891	-0.12	-2.155		0.171	-0.143		2.331			2.173	1.095	-0.187	-0.068	-1.099		0.141	-1.866	0.791	0.553	-1.073	-0.906	-0.026	1.166	0.298	-0.104	0.238		-0.732	-1.177	0.34	1.188	1.37	-1.144		0.175	-0.824		0.874	-0.168
ULK3	0.838	-0.22	1.023	1.345	0.359	-0.943	-0.515	0.853	1.307	0.397	-1.11	0.693	-0.432	-1.635	1.289	-1.018	-0.893	1.501	-0.111	0.437	2.059	-0.483	-0.454	0.019	-0.76	0.046	0.243	-0.455	-0.013	-0.817	0.695	0.809	0.453	1.316	0.747	-1.265	-0.338	-0.194	-0.901	-0.226	0.694	-0.38	-0.69	0.947	0.242	-0.012	-0.661	1.529	1.531	-1.034	-0.042	-0.89	0.691	0.527	-0.867	-1.679	0.671	-1.902	0.207	0.514	-2.566	0.098	-1.231	0.814	-1.521	-0.158	0.987	0.634	0.388	-2.344	-0.796	-1.031	-1.207	0.806	-0.182	0.744	-0.666	0.793	-0.993	0.302	0.15	0.765	-0.53	-0.749
UMPS	0.67	0.352	-1.618			0.918		-0.673					-0.335		1.284		0.149	2.553				0.014							-0.939		-1.296			1.308	2.804					0.112	2.429			3.382	-0.877	1.766				-0.642		-2.231			-0.516	1.087		0	-0.093				2.296	-0.004	0.33	2.202	0.563				0.692				1.578		0.616	0.472		0.742			0.598	
UNC119B	-2.944	-0.889	0.571	0.175	-3.473	0.478	-0.901	1.363	1.637	0.482	-0.408	-0.149	0.593	-0.498	0.868	0.557	-0.783	-0.851	0.11	0.994		-0.444	1.027	-1.038	1.337	1.208	2.014	1.329	-2.128	0.842	-1.962	-0.19	-0.973	-1.222	-0.647	1.202	0.256	-2.017	-0.968	-1.516	0.082	0.389	-0.071	-0.751	0.215	1.505	-0.494	-1.624	0.946	-1.622	-1.731	0.843	-0.908	-1.036	-1.661	0.279	-0.099	1.516	0.395	1.737	-0.547		-1.642	0.258	-2.181	-0.853	0.721	0.533	0.004	0.608	-1.177	-3.651	0.349	2.797	1.032	-1.156	1.246	-0.504	0.408	0.044		0.18	1.338	-0.731
UNC13D	0.915	-0.52	-0.486	1.163	-0.243	1.352	0.177	0.456	1.139	0.416	0.357	-0.291	0.234	0.686	0.029	-0.897	-1.131	0.509	0.354	1.204	0.287	0.519	0.321	1.586	0.455	-1.386	-0.575	-0.633	1.289	-2.141	-0.055	0.136	1.777	-1.197	1.471	1.323	-0.25	1.763	-0.251	1.13	0.725	-0.914	0.073	0.907	1.823	-1.791	-0.961	-1.425	-0.635	-1.668	-0.387	-0.102	0.868	0.124	0.955	-0.285	2.211	-1.608	-0.056	-0.506	-0.98	0.848	0.229	-0.741	-0.26	-1.901	-0.884	0.185	-1.676	0.816	1.631	1.735	0.064	-1.391	0.75	0.902	-0.208	0.663	0.325	0.668	0.224	0.731	-0.192	0.814
UNC45A	-1.405	0.266	-1.472	-1.574	-2.527	-3.137	-0.424	0.511	-0.808	-1.215	0.39	-0.584	0.309	-1.339	0.433	-0.201	-0.447	0.909	2.239	-0.507	1.6	0.352	-0.671	-0.459	0.121	0.785	0.741	-0.206	0.077	-1.659	-2.396	-1.825	-1.536	-1.459	-1.916	0.16	-0.222	1.17	0.358	0.31	-1.783	-0.5	0.786	-0.14	-0.533	-0.965	-2.051	0.371	-0.042	2.511	1.198	-1.051	0.685	0.319	0.119	-1.276	-2.928	-0.291	-0.646	-1.667	-1.044	0.686	-0.127	-0.259	1.264	-1.254	1.248	0.835	0.769	1.858	0.892	1.772	0.899	0.443	-0.399	-1.123	1.684	0.349	1.106	2.071	1.016	0.23	0.08	1.015
UNC5B	0.305	-0.723		-1.841		0.589			-2.399	-0.96			0.825			-0.156		0.62					1.474		-1.84	1.622		1.63	0.44		-0.232	0.213		-1.087		-0.3	-0.413			-0.881	-0.152			-0.383	0.395				3.218	0.113	0.329	-0.144	-0.821					-0.601					1.156	-1.262	-0.651	-0.837		1.091	-1.342				-1.097		0.684	2.414	0.409	1.835	0.806	-0.279		0.159	-0.165	0.664
UNC93B1	2.326	-0.144		0.69	-0.561	-1.581		0.133	-2.052	-0.352	1.638	0.405	-0.81	0.634	-1.532	0.124	-0.374	0.456	1.108			0.547	-1.526			-0.216	2.151	0.158	0.1	-1.069	-0.696	-3.478		-0.911	-0.413			-0.794	1.518	0.376	-2.005		-0.574	-0.432	-0.389		-1.062		0.321	0.933	1.457	-0.876	2.229	2.413		-2.504		-1.005	0.216		-0.043		3.424	-0.413	0.367	-0.278	0.665	-1.129	-3.015	1.436	-1.289	1.144	-0.013		1.38	-1.945	0.988	0.068	0.961	-2.753		-1.462	-1	0.396
UNG	1.066	1.081	1.235	-0.621	0.017	-1.099	-0.529	-0.462	-0.709	0.77	1.329	0.135	-2.49	0.207	-0.306	-0.029	-2.181	-0.885	0.757	-0.222	-1.172	1.455	1.823	0.011	-0.556	0.738	-0.565	-0.121	-0.913	-0.726	-1.047	0.453	0.353	-1.96	1.049	0.345	0.488	-0.175	-1.471	-1.397	-1.187	0.505	1.305	-1.451	1.023	0.825	-0.386	0.179	-0.363	2.432	-1.9	-0.699	-0.699	-0.418	1.346	2.752	2.389	-0.334	-1.029	0.836	-2.477	-0.98	0.53	0.263	1.4	0.94	-1.531	0.376	0.479	1.691	-0.309	-1.674	-1.398	0.702	0.294	0.074	-1.437	1.554	-1.228	1.774	0.344	-1.142	-0.219	1.12
UNK	0.166	-2.538	-0.321	-0.407	-2.647	-0.028	1.007	0.957	-0.161	0.092	1.092	0.278	1.02	1.483	0.686	-0.141	-0.785	-1.849	1.944	0.632	-1.367	-0.523	0.569	0.938		0.915	0.944	-1.898	0.424	-0.39	-1.909	-1.531	1.259	-0.124	-0.363			-1.669	2.04	0.425	0.023	0.066	1.887	0.227	0.499	0.134	0.313	-2.301	1.544	1.525	-0.628	0.14	0.708	-0.724	-1.329	-0.019	1.838	0.398	-2.022	1.416	0.345	0.462	-1.095	-2.063	0.436	-1.099	-1.107	0.48	-0.246	-0.499	-1.145	1.416	0.779	1.039	0.64	-1.362	-0.711	0.05	0.734	-1.193	-0.604	0.956	1.028	1.81
UPF1	0.99	-0.329	0.632	0.403	0.06	1.246	-0.344	0.499	-0.168	-0.291	0.478	0.558	-0.446	-0.669	3.666	0	0.786	2.315	-0.249	0.82	-1.124	1.216	-0.485	0.909	0.035	0.02	0.172	0.526	-0.845	0.274	-0.34	-0.627	0.672	-0.521	0.266	-0.496	0.812	-0.678	-0.139	0.368	-0.568	-1.198	0.99	0.527	0.916	0.318	-0.122	-1.042	-1.814	1.317	0.98	0.558	0.696	2.01	0.178	1.233	1.831	-0.189	2.211	-0.377	-0.014	-0.021	-0.909	-1.95	-0.567	-0.847	-1.981	0.588	0.671	0.575	0.245	-0.52	0.252	1.01	1.46	-0.397	-0.726	-1.782	-1.029	0.427	0.138	-0.442	0.706	-0.439
UPF2	0.948	0.13	0.325	-1.388	0.86	0.706	-2.338	2.399	-0.261	2.25	-3.17	-1.037	-0.487	-0.203	1.277	0.341	2.268	-2.35	-1.065	0.305	0.018	1.088	1.751	0.522	-1.039	-0.378	-1.147	-0.095	0.397	-0.58	-0.442	-0.529	-1.407	-1.35	0.387	0.365	-0.77	0.018	-0.162	-0.596	-0.833	-1.352	-0.328	-0.351	0.921	-0.034	1.542	1.206	0.819	-0.723	0.371	-1.866	-0.222	0.102	-1.111	-0.14	-1.613	-0.255	0.387	1.811	-0.368	0.277	0.103	-0.436	-1.601	-0.324	-0.677	-0.267	-0.061	0.209	-1.517	-0.452	-0.087	-0.751	0.866	0.114	3.113	1.152	0.645	1.219	0.41	2.194	0.976	2.055
UPF3B	1.146		0.583	-2.177	-0.537	0.829						0.625	0.904			-2.246		1.396	0.141	-0.787				0.324		0.712			-1.067		-2.451			0.76	-0.043			-0.137	0.798	2.755	-0.972	0.43	0.053	0.835	-1.338	-0.12	1.123			0.364		0.242	1.078	1.357	0.671			1.01	0.203				-0.479		0.566	-0.152	-1.397		1.424			0.517	-0.428		-2.095		1.255	0.065					0.56	
UPK1B	-2.782	-0.365	0.73	0.286	-2.558	-0.189	-0.298	-0.353	-0.598	-0.513	-1.739	0.438	-0.386	-0.042	1.99	-1.721	-0.415	-1.495	-0.098	-0.899	-0.5	0.374	-0.455	0.379	-1.275	0.067	0.119	0.29	-0.789	-1.064	0.086	0.818	1.091	-1.395	-1.378	0.335	1.721	-0.088	-0.396	-0.097	-0.324	-0.588	-0.775	-0.005	2.271	-2.176	-0.169	0.122	0.079	1.251	-0.062	-1.529	-1.131	1.335	-1.764	-0.244	-0.142	0.806	2.044	0.785	2.142	1.513	-1.638	0.301	-1.569	-0.118	-1.841	0.197	-1.38	0.021	0.738	1.961	0.311	2.298	-0.049	-1.292	-1.085	-0.279	-2.204	-1.144	-2.529	0.409	1.655	-0.229
UPK3B	0.43	1.538	2.655	-1.085	1.621	1.206	-0.404	0.226	0.032	-0.303	-1.223	-0.353	1.017	-1.294	0.941	2.116	0.495	-2.29	2.66	1.85	0.902	-0.758	0.631	-1.341	-0.763	0.155	0.797	-0.152	0.232	0.987	0.8	0.466	-0.029	0.945	0.593	0.407	0.596	0.136	0.949	-2.146	0.179	-1.409	-1.697	0.202	-1.379	0.59	0.498	-0.451	0.442	-2.332	0.065	1.854	0.349	-1.362	-4.101	-2.446	-0.359	1.436	-1.138	-1.029	0.265	1.952	-0.826	-0.264	0.527	-1.083	1.54	1.095	0.597	0.573	1.453	1.664	-0.113	0.296	0.566	-0.599	0.477	0.233	-0.67	0.703	1.338	-1.288	-0.492	1.833
UPP1	1.048	-0.877	-0.093	0.995	-2.183	1.048	1.562	-1.567	-0.067	-1.531	-0.842	0.887	0.332	0.279	-0.214	-0.261	-0.317	0.447	0.7	0.557	-0.938	-0.902	0.239	-0.795	-0.769	0.324	0.297	-0.296	-0.262	-0.354	-0.01	1.104	1.16	0.109	-2.929	0.128	0.902	-0.12	-0.664	0.296	-1.468	0.834	0.572	2.538	0.324	-1.95	-0.208	1.197	-0.324	-1.017	0.542	0.017	-1.26	-0.212	0.06	-0.971	0.521	0.404	-0.625	0.649	-0.633	0.117	1.328	-1.105	-0.321	-0.07	0.242	0.105	-0.336	0.232	1.407	-0.101	-0.928	-1.596	1.051	-1.462	-0.414	-0.491	0.262	1.195	0.231	0.232	1.12	0.199
UPRT	-2.485	-0.313	-0.002	-0.927	0.308	-2.491	-0.551	0.821	2.473	-1.599	0.361	-0.612	2.061	-1.254	-1.632	-0.22	-2.319	0.054	0.995	-2.42	0.507	0.949	0.267	-0.041	0.957	0.467	1.535	-2.968	0.497	-1.175	0.26	-2.02	-0.651	-0.354	2.496	0.955	1.169	-1.048	-0.613	1.128	-0.045	-2.274	-1.388	-1.42	0.835	-1.467	-0.341	-2.09	-2.805	-0.322		1.506	-1.548	1.623	0.276	0.384	-1.237	-0.008	-0.494	-0.447	0.537	-1.383	-0.321	-0.106	-0.452	-1.674	-0.421	0.627	0.546	-1.749	0.58	-1.837	0.592	-0.805	-0.382	-0.35	0.005	-0.483		-0.665	1.596		0.092	0.391
UQCC1	-0.869	1.169	-0.374	1.118	-0.51	0.708	-0.01	0.548	-1.109	0.574	1.011	1.562	-1.072	-0.395	-0.738	0.517	0.954	2.988	1.257	0.246	1.531	-1.191	0.845	0.228	1.115	1.022	1.274	-0.288	-2.601	2.104	2.271	-0.529	0.379	2.123	0.838	0.851	0.006	0.368	0.065	-0.774	-0.426	-0.348	0.382	-2.566	-2.491	0.27	-1.221	-1.275	0.041	-0.053	0.749	-0.299	0.759	-0.334	2.229	0.819	0.863	0.793	0.548	1.218	-0.769	-1.208	-0.703	-0.04	-0.249	-0.553	2.225	0.109	-1.579	-1.043	0.371	2.118	0.56	-0.594	0.376	0.988	-0.2	0.993	-0.101	0.913	1.869	0.522	0.549	1.416
UQCC2	0.241		-0.547	0.197	1.505	-0.054		-0.412	-0.076	0.258		0.57	-0.426		1.498		0.187	2.379	-0.631	0.104		0.6	-1.323	1.521	0.278				1.256		2.015		-0.929	0.197	0.435	0.611	0.368	-0.808	-1.392	1.229	-0.044	-0.416	0.163	0.253	0.576	-1.652	1.969		-0.984	-1.129	-0.352	-1.411		-0.037	-0.185	0.767	1.083		0.934				-1.433		0.242	-1.144	0.15	1.473	1.879		0.115	-0.634	-1.083	0.26	-2.531	0.417	-0.203	0.725	0.094			-0.278	-0.038	
UQCR10				-2.652	0.165	1.143			-0.017	-2.045	-1.731	0.163		-0.599	-1.188	-1.2	-0.242		-1.019	-0.151	1.186	1.649	0.037	1.858		1.451	1.111	-0.221	0.106	0.322	0.797	0.552	-0.571	0.48	-0.49			0.266	0.843		0.026	-1.327	-0.626	1.584			-0.494		-3.296	-0.019	0.732	-0.763	-2.232	-1.568			0.258	0.604	0.302		0.832	-2.694				-0.945	0.383	0.02	0.684	-2.763		-1.008	0.745	-0.355		-0.306	0.578		0.797		0.53	-0.916	2.514	0.352
UQCRB	-0.498		1.489	0.236	1.788	1.18	-2.031		0.704	-0.139	0.812	0.425	0.419		0.754	0.829	-2.413	0.358	1.258	-0.377	0.315	0.756	-0.642	0.045	0.74	-1.147		1.039	0.574	-0.017	-1.828	0.673	0.192	0.241	-1.492	0.302	0.617	0.349	0.302	-1.027	0.805	1.966	0.338	0.159	1.497	-2.068	-0.481	-1.062	0.005	-0.008	0.075	0.455	2.546	0.279	2.297		-0.891	0.717	0.599	-0.942	-0.106	1.239	0.995		-0.705	0.55	-0.748	0.324	-1.014	1.735		0.618	0.545	-0.202	0.382	-0.024	-0.02	-1.337	-0.693		0.941	0.987	1.468	-1.671
UQCRC1	-1.992	-1.649	0.441	-0.108	0.055	1.126	-1.024	0.853	-1.637	0.961	1.055	0.147	-0.811	-1.221	-0.104	1.277	-0.107	0.589	-1.167	-0.968	0.199	0.662	-0.037	1.085	0.982	0.333	0.294	-1.608	-0.97	1.171	1.214	-0.484	0.542	1.205	0.964	1.211	-0.403	-0.654	1.148	-0.614	0.323	-1.33	1.948	0.555	-1.402	1.215	-1.476	-0.808	1.442	-1.317		0.663	-0.442	0.595	-0.112	0.13	1.421	0.905	-0.261	-0.218	0.695	0.868	0.687	-0.678	-0.805	0.361	0.213	-0.004	-1.593	-0.669	-0.529	-0.91	0.052	0.513	-1.569	0.22	0.242	0.297		-0.556	-1.148		1.881	1.923
UQCRC2	-0.463	-0.299	-0.373	-2.336	1.313	0.026	0.225	-0.949	0.227	-0.889	1.217	1.89	-2.794	-0.613	-1.965	-0.756	0.677	-1.731	-1.988	-0.549	-1.906	-0.219	-1.372	0.685	-0.556	-1.506	0.619	-0.364	-2.384	-1.155	-2.882	1.434	-0.16	-2.245	-1.243	-2.018	0.103	-0.593	-2.302	0.133	-1.109	1.827	-0.506	0.421	-1.75	0.377	0.241	0.468	1.48	1.248	-0.794	-1.094	0.679	1.296	-0.549	-1.675	-1.692	-1.931	-1.843	-0.804	0.007	0.123	2.504	-2.098	-0.181	0.418	-2.305	-0.822	2.501	0.007	-0.648	-0.745	-0.007	-2.615	-0.759	0.42	0.009	0.807	-1.326	-0.133	0.823	-0.685	-0.605	0.662
UQCRFS1		-0.467				1.063		-0.918		-0.764			3.022					0.425	0.691									0.424	0.488		0.744	0.164		0.63	-1.257			0.025		1.045	-0.397			0.485	2.096				2.136	2.406		-0.948		1.296		0.611		-1.731	0.388				-0.347	1.367	-0.827	-1.106	0.454				1.049					-1.151	0.687			0.048			-0.023	2.114
UQCRH	-0.028	1.546	0.107	0.005	-0.346	-0.073	-2.591	0.714	0.229	1.547	0.525	-0.393	0.67	-0.005	-1.233	0.782	-0.257	-0.817	0.904	-0.321	-1.308	0.671	1.19	0.967	0.918	0.879	-0.037	-0.801	0.682	0.207	-0.028	-1.643	-2.096	0.872	2.188	1.719	1.644	-0.854	-0.042	0.535	-0.049	-0.909	3.342	-0.247	-1.253	-0.561	-0.289	-1.77	-0.516	-0.618	-1.862	0.088	-0.48	2.923	-0.898	-1.102	-2.036	1.169	-0.697	0.312	-0.363	-0.21	-1.805	0.687	0.766	1.139	-0.723	0.752	1.401	-0.723	-0.635	-2.304	-0.538	-0.523	2.37	-0.592	-1.583	1.158	-1.363	0.366	0.499	-1.236	0.512	-2.605
UQCRQ	-1.129	1.066	-1.394	-1.227	1.823	0.995	-0.187	1.489	-1.375	-0.889	-0.936	0.308	-0.659	2.315	-0.347	0.029	-1.482	-3.114	-0.828	0.746	1.131	0.084	1.122	-1.116	1.758	-0.428	-0.616	-0.326	-0.065	0.658	-1.671	-1.5	-2.048	-1.535	0.089	0.411	-1.088	-0.46	-1.451	-0.801	-0.637	-0.125	-0.342	-0.506	-2.048	-2.055	-1.037	1.207	1.262	1.026	-0.127	1.037	0.206	-0.051	0.462	0.379	0.395	2.242	-1.215	-0.255	-1.588	0.429	1.957	1.106	-1.409	-0.453	-1.012	0.495	2.113	-0.602	2.283	-0.318	-0.008	0.732	-2.375	0.637	0.58	-0.075	-1.217	0.023	-1.492	-0.889	-0.04	-0.186
URB1	-1.5	-1.538	-1.241	2.221	0.962	-2.936	-2.03	-2.316	0.377	0.88	0.285	0.927	-0.492	-0.047	1.702	1.522	-0.394	1.16	-0.196	-0.416	0.166	-1.515	1.292	-0.459	-0.83	2.385	0.207	-1.533	1.099	1.782	-1.012	1.086	2.56	-0.307	-0.512	-0.695	-2.228	-0.787	-1.45	1.061	-0.475	1.731	1.474	-0.922	-1.111	-0.934	0.75	-1.145	0.195	0.622	1.507	0.982	-1.324	1.346	-0.453	0.189	1.098	-0.618	0.092	0.249	0.863	-0.286	-0.001	0.752	-1.332	-0.423	0.003	-1.554	-1.474	-0.301	-0.891	-1.429	0.633	-0.128	-0.185	-0.89	-0.286	0.559	1.238	-0.688	1.495	1.729	-0.654	-0.816
URB2		3.009		-0.557	0.37	-0.444	-0.733			-1.527	0.325	0.274	-0.785	-1.033	0.743	-1.953	1.656	0.079	1.38	-1.148		-0.404		1.192	0.292	-0.51	0.082		-0.3	-1.134	0.792		-0.424	-2.148	-1.187	1.523	1.046	0.017	-0.561	0.315	-1.691	0.485	-0.913	2.229	0.315		0.573	0.973	0.045	-1.002		-0.125	0.967	0.474			0.021	-1.545	-0.287	-0.348	-0.099		0.281	-0.435	-1.567	0.798	-0.371		3.057	-0.116		0.439	-0.566	0.901		-0.266	0.495			-1.628			-0.495	
URGCP	-2.164	-0.342		0.941	-0.94	2.803	0.992	-2.261	-1.146	1.914	-1.592	-0.877	-0.8		-0.87		-0.693	-0.368	0.557	1.048	-1.127	-0.337	-0.427	0.701	-2.002			-1.138	0.484		-2.475	-0.584	-0.994	0.831	1.267	-1.432	-1.488	0.658	0.201	1.291	-0.08	-0.155	0.362	-0.952	-0.844		1.969	-0.36	-0.919	1.226		-0.151		0.102		-0.465	-0.625	-0.882	-0.718	1.006	-0.863	-0.208	-1.878	0.366	-1.06	0.65	0.927	-0.396	-0.428	0.321	-1.893	-1.785	-0.025	-0.58	-0.381	-0.861	-1.298	-0.023		0.088	-0.625		0.891	0.876
URI1					1.093	-0.273		0.653				-1.118	-1.053		1.02		-0.458					-0.641																		4.024							-0.994				1.944					-1.989							-0.423								2.192						1.066		0.157			-1.965	-0.346	
